,절도,장물,사기,횡령,배임,손괴,살인,강도,방화,성폭력,폭행,상해,협박,공갈,약취와유인,체포와감금,"폭력행위등(손괴,강요,주거침입등)","폭력행위등(단체등의구성,활동)",통화,유가증권·인지·우표,문서,인장,직무유기,직권남용,수뢰,증뢰,도박과복표,신앙,기타음란행위,과실치사상,업무상과실치사상,실화,명예,권리행사방해,신용업무경매,주거침입,비밀침해,유기,교통방해,공무방해,도주와범인은닉,위증과증거인멸,무고,공안을해하는죄,내란의죄,음용수에관한죄,일수와수리에관한죄,기타,가정폭력범죄의처벌등에관한특례법,가축분뇨의관리및이용에관한법률,감염병의예방및관리에관한법률,개발제한구역의지정및관리에관한특별조치법,개인정보보호법,건강기능식품에관한법률,건설기계관리법,건설산업기본법,건축법,게임산업진흥에관한법률,결혼중개업의관리에관한법률,경범죄처벌법,고용보험법,공유수면관리및매립에관한법률,공유재산및물품관리법,공인중개사법,공중위생관리법,공직선거법,관세법,교통사고처리특례법,국가기술자격법,국가보안법,국민체육진흥법,국토의계획및이용에관한법률,근로기준법,근로자퇴직급여보장법,낚시관리및육성법,노동조합및노동관계조정법,농수산물유통및가격안정에관한법률,농수산물의원산지표시에관한법률,농지법,대기환경보전법,대부업등의등록및금융이용자보호에관한법률,도로교통법,도로교통법(무면허운전),도로교통법(사고후미조치),도로교통법(음주운전),도로교통법(음주측정거부),도로법,도시및주거환경정비법,독점규제및공정거래에관한법률,디자인보호법,마약류관리에관한법률(대마),마약류관리에관한법률(마약),마약류관리에관한법률(향정),물환경보전법,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,범죄수익은닉의규제및처벌등에관한법률,변호사법,병역법,보조금관리에관한법률,부동산실권리자명의등기에관한법률,부정경쟁방지및영업비밀보호에관한법률,부정수표단속법,사행행위등규제및처벌특례법,산림자원의조성및관리에관한법률,산업안전보건법,산지관리법,상표법,석유및석유대체연료사업법,선박안전법,선박직원법,성매매알선등행위의처벌에관한법률,수도법,수산업법,수산자원관리법,식품위생법,신용정보의이용및보호에관한법률,"아동,청소년의성보호에관한법률(성매수등)","아동,청소년의성보호에관한법률(음란물등)",아동복지법,액화석유가스의안전관리및사업법,약사법,여객자동차운수사업법,여신전문금융업법,영유아보육법,예비군법,옥외광고물등의관리와옥외광고산업진흥에관한법률,외국환거래법,위험물안전관리법,유사수신행위의규제에관한법률,의료기기법,의료법,자동차관리법,자동차손해배상보장법,자본시장과금융투자업에관한법률,저작권법,전자금융거래법,전파법,정보통신망이용촉진및정보보호등에관한법률,조세범처벌법,주민등록법,주차장법,주택법,직업안정법,집회및시위에관한법률,청소년보호법,"총포,도검,화약류등의안전관리에관한법률",최저임금법,축산물위생관리법,출입국관리법,통신비밀보호법,특가법(도주차량),특허법,폐기물관리법,풍속영업의규제에관한법률,하천법,학교보건법,학원의설립운영및과외교습에관한법률,화물자동차운수사업법,화재로인한재해보상과보험가입에관한법률,"화재예방,소방시설설치유지및안전관리에관한법률",화학물질관리법,기타특별법
농임수산업,1528,5,2552,688,207,1149,19,10,32,401,3393,2037,423,69,8,29,40,5,1,7,361,26,1,3,9,18,1040,54,19,87,135,201,728,173,762,227,1,3,367,283,17,160,193,1,0,5,5,0,4,509,0,199,10,1,35,27,534,34,2,75,24,57,14,33,12,28,1,6359,7,1,4,317,52,4,33,0,0,50,220,43,14,600,2684,1094,6171,165,57,1,0,2,42,453,49,35,36,1,11,22,282,39,1,8,5,205,11,686,2,27,7,59,100,25,623,364,314,3,5,2,37,0,6,20,15,0,23,1,0,6,7,0,14,527,718,0,38,105,18,49,36,37,2,19,8,28,10,5,3,157,126,3,215,1,115,0,48,0,0,33,0,0,9,2492
광업,1,0,37,2,0,2,0,0,0,0,6,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,3,1,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,1,4,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
제조업,184,4,1334,253,95,131,1,1,3,115,771,224,65,12,0,9,8,1,0,7,91,11,0,1,3,20,97,1,9,10,53,16,107,86,144,37,0,2,7,83,0,17,46,0,0,0,0,0,0,9,0,23,4,2,13,29,88,17,0,20,37,2,2,1,1,3,6,381,2,0,1,41,2224,897,0,19,0,51,22,292,2,58,208,96,688,7,7,0,0,26,0,3,15,139,0,4,1,17,20,13,25,47,1,9,101,24,40,0,0,0,41,7,0,2,138,0,3,3,12,1,5,1,4,0,30,3,1,11,6,12,1,111,132,0,185,75,16,34,77,6,0,5,3,2,1,0,8,6,208,0,17,29,73,0,3,0,0,1,0,0,51,425
건설업,949,12,9480,963,390,1090,9,8,13,340,4865,1486,391,71,4,50,81,17,2,19,559,14,7,1,27,43,529,13,30,37,445,50,435,355,904,310,2,2,88,299,12,107,142,0,0,3,0,1,7,5,0,42,13,2,52,2572,529,37,0,139,141,8,6,28,6,6,4,1875,65,0,3,287,4148,247,0,12,0,0,45,320,10,294,1138,468,3136,53,91,5,0,1,10,13,103,16,0,1,21,48,22,55,0,30,1,37,750,201,3,8,2,0,128,4,2,20,4,3,13,1,45,1,2,10,13,1,86,11,1,0,8,1,12,649,997,1,72,164,9,84,147,23,12,53,2,10,2,0,2,0,102,0,77,3,82,0,14,0,0,8,0,0,4,705
도소매업,187,90,1038,163,46,99,2,6,1,70,569,216,53,14,2,7,4,2,0,3,76,2,0,0,15,2,92,3,2,13,7,7,128,49,107,37,0,0,6,34,4,11,25,1,0,0,0,0,0,4,0,13,10,115,8,12,77,45,0,14,9,1,0,3,7,1,20,458,0,0,4,5,369,119,0,0,11,143,13,13,16,42,142,78,497,10,12,2,0,25,2,2,32,6,0,3,1,17,6,2,15,40,1,2,6,3,209,46,1,0,38,4,1,25,182,0,3,0,5,8,54,8,18,0,35,3,6,4,9,18,9,157,45,0,51,58,80,34,56,2,6,4,1,2,254,1,6,96,10,0,23,26,6,2,1,0,0,7,0,0,10,358
무역업,49,11,553,76,9,31,1,5,0,35,236,70,13,7,0,0,4,0,0,1,28,2,0,0,1,0,23,0,3,0,1,2,29,23,41,9,0,0,1,24,0,3,14,1,0,0,0,0,0,0,0,2,1,0,0,5,3,1,0,6,2,0,0,0,4,0,62,57,0,1,0,2,14,3,0,0,0,0,0,2,5,10,24,6,109,1,2,0,0,2,3,0,16,0,0,1,0,2,0,1,3,0,0,0,0,4,17,1,0,0,11,1,0,0,13,0,0,0,4,2,4,0,3,0,3,0,7,0,5,2,4,49,67,0,2,19,1,9,32,0,0,0,0,0,0,0,0,1,15,0,2,1,1,0,0,0,0,1,0,0,8,98
요식업,373,10,1275,178,36,256,5,7,7,215,2050,749,145,32,1,17,9,6,0,3,86,0,0,1,2,11,266,0,13,43,34,28,238,97,196,67,1,3,11,103,6,33,61,2,0,0,0,0,2,0,0,53,8,2,1,9,155,50,2,44,14,4,0,4,4,1,1,1001,0,0,10,15,829,212,1,0,0,764,17,1,10,110,363,175,1355,23,6,1,0,0,14,12,38,1,0,2,2,51,8,4,2,3,2,3,1,13,30,2,0,0,60,9,2,21,1589,0,2,1,21,0,3,6,39,1,101,4,5,0,5,1,6,192,172,0,60,153,0,59,16,11,19,15,4,1,1133,0,13,22,34,1,57,1,3,0,7,0,1,3,0,0,0,315
숙박업,55,1,164,44,5,31,1,0,0,33,244,91,22,3,0,10,9,0,0,0,14,0,0,0,0,0,17,1,0,8,9,1,35,19,23,32,0,0,5,12,2,7,17,0,0,1,0,0,0,0,0,1,1,0,0,4,74,6,0,4,2,1,2,0,180,1,0,64,1,0,0,12,45,5,0,0,0,0,8,2,2,9,15,13,78,1,0,0,0,0,0,3,5,0,0,1,0,2,0,2,0,0,0,1,1,14,4,0,1,0,147,0,0,1,5,1,4,1,1,0,0,5,3,0,4,0,2,1,1,0,1,11,7,0,6,15,0,6,1,3,1,1,1,1,272,0,4,0,12,0,4,0,0,10,6,2,0,0,0,0,1,75
유흥업,170,3,560,44,4,96,0,7,3,112,1217,457,45,26,3,14,0,8,1,0,20,1,0,0,1,2,124,0,2,13,4,5,72,30,70,20,0,1,0,41,4,9,23,0,0,0,0,1,0,1,36,0,2,0,1,2,6,272,0,15,3,0,0,0,3,3,0,75,0,0,5,0,73,8,0,0,0,0,0,0,11,10,35,25,132,4,0,0,0,0,12,0,73,0,0,0,0,28,0,1,0,0,8,0,0,1,1,0,0,0,446,0,0,0,591,0,2,0,6,0,0,2,21,0,45,6,0,0,0,0,18,33,28,0,622,49,0,23,1,11,0,1,67,0,459,0,3,0,37,0,8,0,0,22,0,4,0,0,0,0,0,3406
금융업,22,11,291,22,28,16,0,0,0,19,104,22,14,11,1,2,3,0,0,1,29,0,0,0,0,0,5,0,0,0,2,0,17,4,14,12,0,0,0,5,3,5,3,0,0,0,0,0,0,0,0,1,5,0,0,0,1,1,0,2,0,0,0,1,0,0,0,78,0,1,1,0,3,1,0,4,0,0,0,0,407,4,10,12,112,0,0,0,0,0,2,0,5,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,1,0,1,1,0,0,1,0,0,3,0,2,18,3,1,5,0,1,20,7,2,1,3,0,4,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52
